,Vs_min,Vs_mean,Vs_max,Vs_std
0,1144.8838,2191.8726,3967.5813,386.885
1,1071.4286,2704.9753,4500.0,449.57584
2,1071.4286,1951.3281,4366.0205,448.42386
3,1071.4286,2458.6106,4500.0,554.90314
4,1071.4286,2426.8901,4500.0,827.36884
5,1226.2369,2678.8428,4500.0,639.20825
6,1818.2023,3141.1755,4500.0,435.26904
7,1097.393,2345.2651,4305.6157,522.1691
8,1191.407,2304.0198,4476.9634,454.2243
9,1554.9241,2629.1924,4500.0,511.80997
10,1071.4286,2432.477,4500.0,498.76273
11,1071.4286,2433.924,4500.0,633.9196
12,2199.5032,2934.1733,4500.0,339.08597
13,1071.4286,2566.7664,4500.0,584.54675
14,1173.8115,2837.1504,4500.0,641.41986
15,1385.3126,2762.456,4500.0,497.10904
16,1071.4286,2416.3193,4500.0,551.8607
17,1071.4286,2466.9355,4500.0,467.87848
18,1222.249,2612.6318,4500.0,474.70453
19,1296.3606,2518.0776,4500.0,400.6202
20,1234.7062,2553.2556,4500.0,607.93915
21,1228.0793,2733.5527,4500.0,442.96384
22,1071.4286,2284.0835,4475.3384,489.80466
23,1073.6273,2377.7732,4500.0,496.3742
24,1071.4286,2427.687,4500.0,542.2118
25,1270.795,2370.2166,4021.9321,410.10098
26,1071.4286,2372.3953,4500.0,559.10394
27,1318.0967,2868.2297,4500.0,405.7038
28,1377.0995,2242.4866,3890.3813,380.99252
29,1684.5275,2796.8538,4500.0,497.04922
30,1192.8604,2455.4495,4500.0,489.7135
31,1287.4491,2610.0193,4500.0,489.18597
32,1474.4858,2802.5479,4500.0,564.16785
33,1141.9832,2795.9536,4015.765,408.15677
34,1123.4286,2944.2893,4500.0,675.466
35,1266.9834,2776.7166,4500.0,642.8433
36,1071.4286,1994.9454,3928.2056,378.9065
37,1071.4286,2417.7483,4500.0,643.82434
38,1071.4286,2376.0435,4500.0,394.42813
39,1494.8746,2523.069,4500.0,472.08987
40,1265.0458,2472.3604,4463.9634,462.4175
41,1219.5664,2194.8623,4328.24,396.6994
42,1138.6669,2745.721,4500.0,543.9121
43,1071.4286,2590.6477,4500.0,620.7202
44,1071.4286,2650.4277,4500.0,577.01776
45,1207.456,2667.2595,4073.9814,520.974
46,2325.5193,2603.409,3593.0647,198.91728
47,1323.0519,2712.6084,4500.0,491.4388
48,1071.4286,2139.3992,4500.0,462.16843
49,1071.4286,2459.2856,4445.8716,521.5422
50,1071.4286,2416.1624,4500.0,685.3435
51,1071.4286,2622.3354,4500.0,648.8899
52,1086.4122,2239.2654,4341.4497,392.66718
53,1781.6349,2398.6897,3746.1116,461.2172
54,1385.5446,2228.6855,4500.0,447.0439
55,1507.0046,2426.1926,3797.6057,348.34323
56,1071.4286,2425.7473,4500.0,526.8921
57,1247.05,2780.8577,4500.0,491.7907
58,1321.0571,2485.633,3812.0745,383.22922
59,1071.4286,1903.9691,3592.1648,328.5238
60,1246.248,2773.5059,4500.0,556.31525
61,1071.4286,2607.8318,4500.0,464.67685
62,1377.6909,2496.8406,4383.899,406.93906
63,1841.5444,3065.3616,4500.0,441.58194
64,1111.8667,2320.2737,4476.275,413.25983
65,2140.919,2578.2234,3793.0325,219.04544
66,1362.006,2601.1719,4500.0,487.92972
67,1280.2374,2641.7695,4500.0,483.2623
68,1071.4286,2496.6685,4500.0,556.8873
69,1166.3784,2578.552,4500.0,628.8994
70,1117.4609,2753.928,4500.0,535.42664
71,1071.4286,2509.2878,4500.0,606.9315
72,1071.4286,2070.1643,4500.0,525.82
73,1071.4286,2456.5957,4500.0,470.09903
74,1071.4286,2468.9373,4500.0,615.5441
75,1071.4286,2610.1711,4500.0,547.54193
76,1071.4286,2479.795,4186.7236,519.08984
77,1239.1167,2581.8018,3928.0222,503.0772
78,1733.7748,2266.6704,3910.4075,333.06628
79,1167.2188,2361.7236,4500.0,475.4126
80,1561.1812,2885.3403,4500.0,447.90637
81,2650.9888,3149.9724,3995.2878,185.81953
82,1071.4286,2270.4966,4500.0,459.1646
83,1441.5211,2806.918,4500.0,453.96225
84,1120.9589,2146.8203,3451.8804,398.59137
85,1071.4286,2573.511,4500.0,552.50195
86,1159.5311,2339.0183,4500.0,514.84686
87,1341.2129,2529.6902,4160.267,456.21045
88,1332.1173,2457.7444,3737.6694,428.8292
89,1245.9701,2297.297,3910.826,362.824
90,1071.4286,2474.5952,4291.9434,440.20407
91,1516.6014,2642.0894,4258.078,418.4609
92,2159.7603,2739.6665,3923.79,219.74094
93,1071.4286,2270.719,4500.0,436.07877
94,1097.3123,2455.0767,4500.0,556.87634
95,1417.2593,2389.0854,4069.484,373.53867
96,1254.1852,2591.59,4500.0,673.5375
97,1219.4362,2223.7488,3967.168,419.95673
98,1071.4286,2001.9176,4039.8728,499.88834
99,2391.6514,2996.7446,4287.113,258.0518
100,1178.3995,2452.0378,4323.4326,486.06052
101,1118.8646,2140.6484,3523.028,394.84842
102,1504.888,2383.0762,4500.0,555.7159
103,1417.5664,2541.69,4500.0,502.9978
104,1611.2642,2824.3357,4194.8813,389.9263
105,1188.3346,2690.9739,4068.4343,403.41928
106,1309.1478,2612.6863,3825.9924,418.5767
107,1071.4286,2739.199,4500.0,499.3126
108,1071.4286,2343.1436,4500.0,570.6627
109,1071.4286,2476.3125,4500.0,684.38324
110,1474.6222,2278.2944,4003.7996,362.23547
111,1071.4286,2729.3083,4500.0,572.85284
112,1071.4286,2737.4622,4500.0,745.98755
113,1391.2756,2519.8398,4500.0,517.57733
114,1071.4286,2475.799,4342.5884,489.61075
115,1071.4286,3143.9287,4500.0,463.34058
116,1071.4286,2310.1545,4500.0,715.54767
117,1071.4286,2327.3853,4500.0,437.50323
118,1071.4286,2542.2239,4500.0,467.75916
119,1372.067,2526.4973,4497.1025,395.83688
120,1931.4127,2868.5283,4422.0806,350.39935
121,1225.7892,2325.448,4500.0,498.3332
122,1071.4286,2287.234,4500.0,427.3424
123,1358.7733,2582.376,4020.182,394.60065
124,1411.5923,2709.9783,3886.3904,285.10278
125,1071.4286,2288.947,4500.0,559.78796
126,1071.4286,2407.0964,3975.5078,459.84964
127,1513.4978,2735.4739,4500.0,398.3766
128,1396.309,2891.9111,4500.0,521.3278
129,1260.143,2585.8337,4500.0,464.14993
130,2452.7898,3099.7012,4006.9265,219.4635
131,1071.4286,2512.5464,4500.0,566.6214
132,1071.4286,2610.533,4500.0,509.92435
133,1409.2183,2187.707,3919.7852,473.75693
134,1130.3536,2446.9756,4087.289,458.80585
135,1365.0758,2888.4514,4500.0,560.34595
136,1112.0308,2105.6116,3438.14,328.96555
137,1220.8848,2333.0344,3983.687,428.3016
138,1071.4286,2673.0618,4500.0,523.48627
139,1071.4286,2245.1646,4500.0,646.97894
140,1071.4286,2413.3357,4500.0,534.1942
141,1071.4286,2633.0874,4500.0,516.8213
142,1474.8029,2337.271,4500.0,487.831
143,1489.7328,2470.1382,4456.5947,476.11163
144,1299.2542,2808.831,4500.0,397.14008
145,1121.8746,2382.7832,4201.3228,433.7268
146,1071.4286,2576.129,4500.0,581.60175
147,1098.9501,2570.5737,3922.616,425.39767
148,1423.6176,2600.0232,4500.0,392.58542
149,2250.1487,2809.4106,3884.285,220.31763
150,1488.1937,2708.1953,4500.0,465.9502
151,1205.6575,2378.31,4237.736,434.24118
152,1487.1592,2673.0261,4314.493,414.35782
153,1373.646,2266.0986,3771.9487,406.7822
154,1071.4286,2269.903,4116.359,401.03638
155,1314.5603,3075.3745,4500.0,572.7083
156,1071.4286,2928.5762,4500.0,611.23785
157,1331.0461,2790.238,4500.0,434.43076
158,1071.4286,2283.2808,4292.224,544.2486
159,1345.9373,3113.8225,4500.0,590.42163
160,1292.3191,2545.44,4468.9033,472.7201
161,1231.2489,2203.9543,3886.1536,375.90897
162,1071.4286,2757.0254,4500.0,479.55402
163,1300.1174,2415.4705,4333.141,439.1402
164,1247.4574,2571.6287,4264.887,441.31238
165,1582.0225,2328.4497,3895.9912,445.71924
166,1071.4286,2145.9329,3931.0361,507.31332
167,1352.4014,2425.118,4395.9785,433.45477
168,1585.7847,2530.6848,3926.037,371.4703
169,1322.7439,2482.3113,4500.0,473.45978
170,1158.5322,2524.7385,4500.0,448.42715
171,1556.6833,2704.2078,4500.0,439.30515
172,1165.556,2482.1213,4387.028,436.803
173,1071.4286,2312.0627,4500.0,565.73315
174,1491.2849,2449.2825,4023.0974,353.29895
175,1177.0946,2472.2468,4500.0,416.49673
176,1602.7595,2713.2905,4500.0,536.45966
177,1071.4286,2753.5813,4500.0,515.4152
178,1542.2848,2293.911,3978.2468,331.35837
179,1511.2308,2724.0845,4416.701,386.98416
180,1071.4286,2453.2622,3983.099,545.48834
181,1145.8534,2625.7979,4500.0,538.03815
182,1968.1033,2372.209,3621.9768,248.61722
183,1237.9823,2473.737,4151.4365,406.43713
184,1071.4286,2299.096,4500.0,596.0045
185,1199.0524,2574.8928,4500.0,522.7061
186,1749.0145,2764.5032,4500.0,365.24603
187,1267.9154,2556.5508,4500.0,529.14496
188,1769.1678,2502.7256,3871.6367,284.87704
189,1123.3445,2484.8896,4500.0,532.4076
190,1071.4286,2691.5857,4500.0,533.9275
191,1201.7545,2678.1782,4500.0,481.26312
192,1071.4286,2353.2832,4500.0,692.46686
193,2475.0088,3106.8513,4068.123,233.20662
194,1098.9758,2706.983,4500.0,615.82544
195,2024.71,2458.322,3628.0588,236.25188
196,1071.4286,2433.5205,4500.0,576.12244
197,1071.4286,2186.5847,4323.2764,400.0081
198,1772.9227,3064.2458,4500.0,378.64072
199,1163.2104,2414.5964,4500.0,552.25604
200,1298.7488,2624.531,4500.0,447.90707
201,1237.0793,2477.9116,3726.1396,425.35934
202,1229.9202,2441.7546,4500.0,519.5294
